Alt (m);Mach number;Throttle;Power (kW);SFC (gr/MJ);PCN HP;PCN LP;PCN PT;Inlet airflow (kg/s);Fuel flow (kg/s);eta;ISA dev C;P3 (bar);T3 (K);FAR;Residual thrust (N);;;;Power (kW)
3000;0;0.27527527;500010;88.2009;0.81932;0.71607;0.99861;2.8157;0.044101;0.2629104;-10;8.0814;589.86;0.017404;567.21;;;;500.01
3000;0;0.38537767;700000;78.7246;0.85697;0.7999;0.99895;3.2611;0.055107;0.2945577;-10;9.6066;614.03;0.018777;773.52;;;;700
3000;0;0.495485576;900000;73.476;0.88803;0.85899;0.9992;3.6622;0.066128;0.3155988;-10;11.025;633.22;0.020065;992.72;;;;900
3000;0;0.605593482;1100000;70.205;0.91673;0.90143;0.9994;4.049;0.077225;0.3303033;-10;12.41;649.25;0.021194;1230.77;;;;1100
3000;0;0.715701387;1300000;68.3927;0.94084;0.94256;0.99957;4.398;0.08891;0.3390558;-10;13.736;665.96;0.022464;1482.86;;;;1300
3000;0;0.825809293;1500000;67.5386;0.96324;0.9778;0.99971;4.7192;0.10131;0.3433433;-10;15.028;683.42;0.023854;1751.48;;;;1500
3000;0;0.935917199;1700000;67.1405;0.98448;1.0154;0.99984;5.0334;0.11414;0.3453791;-10;16.316;699.99;0.025199;2038.85;;;;1700
3000;0;1.046025105;1900000;67.0846;1.0053;1.0548;0.99995;5.3365;0.12746;0.3456668;-10;17.595;716.24;0.026541;2342.15;;;;1900
3000;0.2;0.054243723;100020;201.2644;0.67125;0.36687;0.99701;1.4503;0.020131;0.1152163;-10;3.8833;493.19;0.015423;62.37;;;;100.02
3000;0.2;0.162709474;300020;109.1829;0.7698;0.57698;0.9981;2.2706;0.032757;0.212386;-10;6.3187;558.49;0.01603;220.13;;;;300.02
3000;0.2;0.271169803;500010;87.7288;0.81713;0.70452;0.99861;2.823;0.043865;0.2643253;-10;8.0915;590.58;0.017265;386.06;;;;500.01
